EPG名称,APP地址
港台电视31,P2p://starvod.xyz:19806/3d4038002c1648318f52b3e9bf1a2fa9
港台电视32,P2p://starvod.xyz:19806/63a9d7aff27a4b7fb34e1c6b37831934
私人影院,P2p://starvod.xyz:19806/3c441307542940208f361c935501e643
Thrill,P2p://starvod.xyz:19806/223c78877367436a917585523b400765
美亚电影台(粤语),P2p://starvod.xyz:19806/96d0682c8ff847729b749930385aa521
亚洲剧台,P2p://starvod.xyz:19806/623350e53f034ed28ff3cf504379d104
星空卫视,P2p://starvod.xyz:19806/e8fc863e98694c568c1abf29190c149c
澳门-MACAU,P2p://starvod.xyz:19806/bf8314908fe041eca35b999074b1b2a8
澳门莲花,P2p://starvod.xyz:19806/3b31982da9184ad7923cab20ccaaab2a
台湾省,#genre#
TVBS,P2p://starvod.xyz:19806/25c0cfcc13ff4c4db23581f7b9424112
TVBS欢乐台,P2p://starvod.xyz:19806/74aa744d1a8a4c4bb9071caf976950f5
TVBS精采台,P2p://starvod.xyz:19806/25b73767a8b24341a0405db75d4c6387
TVBS新闻台,P2p://starvod.xyz:19806/2df55e640ca74cf98fdff0159efeadb5
TVBS亚洲,P2p://starvod.xyz:19806/ef40fbad0c3c4abbbb142e642263e92b
中天新闻台,P2p://starvod.xyz:19806/50915077fd9b49b3b719a1551e36c76c
中天娱乐台,P2p://starvod.xyz:19806/388b574a22e14a17a5c241d467065029
中天综合台,P2p://starvod.xyz:19806/d10034d952ad45aeb0e0bce47d197db3
中视,P2p://starvod.xyz:19806/5377922caae64099b359685e49a2be94
中视,#N/A
中视菁采台,P2p://starvod.xyz:19806/3918c9baac3049e59595c1d104e75723
中视经典,P2p://starvod.xyz:19806/0def3e81f17a40339853a8adbc580160
中视新闻,P2p://starvod.xyz:19806/daddc13b4fdb48ed97eb3cff4979c570
民视,P2p://starvod.xyz:19806/ce8fdea4216b40b09befe57f0d6e8d6c
民视(备),#N/A
民视第一台,P2p://starvod.xyz:19806/546bb2e3696a47cf909539a20cf5dd72
民视台湾台,P2p://starvod.xyz:19806/8271759565c04b34a44c1717457182de
民视新闻台,P2p://starvod.xyz:19806/73b1a59bac0041ec8b838db1675d4df6
台视,P2p://starvod.xyz:19806/d98f30f687534fed802a0403316feddd
台视(备),#N/A
